"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Hamstring Stretch",,"",0,"normal",,,,30,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Hamstring Stretch",,"",1,"normal",,,,30,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Cat Cow Stretch",,"",0,"normal",,,,60,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Chest Stretch",,"",0,"normal",,,,60,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Deep Squat",,"",0,"normal",,,,60,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Cable External Rotation",,"",0,"normal",9,10,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Cable External Rotation",,"",1,"normal",9,10,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Plank",,"",0,"normal",,,,60,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Lunge",,"",0,"normal",,10,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Jump Squat",,"",0,"normal",,10,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Push Up",,"",0,"normal",,5,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Squat (Barbell)",,"",0,"normal",20,10,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Squat (Barbell)",,"",1,"normal",60,4,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Squat (Barbell)",,"",2,"normal",80,4,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Squat (Barbell)",,"",3,"normal",110,6,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Squat (Barbell)",,"",4,"normal",110,6,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Squat (Barbell)",,"",5,"normal",110,6,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Squat (Barbell)",,"",6,"normal",110,6,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Bench Press (Barbell)",,"",0,"normal",20,10,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Bench Press (Barbell)",,"",1,"normal",40,4,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Bench Press (Barbell)",,"",2,"normal",60,4,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Bench Press (Barbell)",,"",3,"normal",70,6,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Bench Press (Barbell)",,"",4,"normal",70,6,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Bench Press (Barbell)",,"",5,"normal",70,6,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Bench Press (Barbell)",,"",6,"normal",70,6,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Split Squat (Dumbbell)",0,"",0,"normal",,10,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Split Squat (Dumbbell)",0,"",1,"normal",,10,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Split Squat (Dumbbell)",0,"",2,"normal",,10,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Seated Overhead Press (Dumbbell)",0,"",0,"normal",22.5,10,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Seated Overhead Press (Dumbbell)",0,"",1,"normal",22.5,10,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Seated Overhead Press (Dumbbell)",0,"",2,"normal",22.5,10,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Lying Leg Curl (Machine)",1,"",0,"normal",36,12,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Lying Leg Curl (Machine)",1,"",1,"normal",36,12,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Lying Leg Curl (Machine)",1,"",2,"normal",36,12,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Seated Chest Flys (Cable)",1,"",0,"normal",43,12,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Seated Chest Flys (Cable)",1,"",1,"normal",43,12,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Seated Chest Flys (Cable)",1,"",2,"normal",43,12,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Leg Extension (Machine)",2,"",0,"normal",43,12,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Leg Extension (Machine)",2,"",1,"normal",43,12,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Leg Extension (Machine)",2,"",2,"normal",43,12,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Triceps Pushdown",2,"",0,"normal",54,12,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Triceps Pushdown",2,"",1,"normal",54,12,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Triceps Pushdown",2,"",2,"normal",54,12,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Side Plank",3,"",0,"normal",,,,30,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Side Plank",3,"",1,"normal",,,,30,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Side Plank",3,"",2,"normal",,,,30,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Side Plank",3,"",3,"normal",,,,30,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Side Plank",3,"",4,"normal",,,,30,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Side Plank",3,"",5,"normal",,,,30,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Knee Raise Parallel Bars",3,"",0,"normal",,10,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Knee Raise Parallel Bars",3,"",1,"normal",,10,,,
"Day 1","16 Mar 2026, 19:37","16 Mar 2026, 20:47","","Knee Raise Parallel Bars",3,"",2,"normal",,10,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Barbell Deadlift",,"",0,"normal",20,10,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Barbell Deadlift",,"",1,"normal",60,4,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Barbell Deadlift",,"",2,"normal",80,4,,,
"JEFIT Workout 2026-03-12","12 Mar 2026, 11:34","12 Mar 2026, 13:25","","Barbell Deadlift",,"",3,"normal",102.5,8,,,
