session_id,timestamp,valid_data,activation,scl_avg
4b2d1740-7d86-11ee-8080-808080808080,1699372648,true,false,38.56777572631836
4b2d1740-7d86-11ee-8080-808080808080,1699372653,true,false,39.05377960205078
4b2d1740-7d86-11ee-8080-808080808080,1699372653,true,false,39.59417724609375
4b2d1740-7d86-11ee-8080-808080808080,1699372653,true,false,40.18735885620117
4b2d1740-7d86-11ee-8080-808080808080,1699372653,true,false,41.00654220581055
4b2d1740-7d86-11ee-8080-808080808080,1699372653,true,false,41.72592544555664
4b2d1740-7d86-11ee-8080-808080808080,1699372658,true,false,41.26156997680664
4b2d1740-7d86-11ee-8080-808080808080,1699372658,true,false,39.826446533203125
4b2d1740-7d86-11ee-8080-808080808080,1699372658,true,false,39.77946090698242
4b2d1740-7d86-11ee-8080-808080808080,1699372658,true,false,39.73031997680664
4b2d1740-7d86-11ee-8080-808080808080,1699372658,true,true,39.69179916381836
4b2d1740-7d86-11ee-8080-808080808080,1699372663,true,false,39.65570068359375
4b2d1740-7d86-11ee-8080-808080808080,1699372663,true,true,39.622554779052734
4b2d1740-7d86-11ee-8080-808080808080,1699372663,true,false,39.584251403808594
4b2d1740-7d86-11ee-8080-808080808080,1699372663,true,true,39.557518005371094
4b2d1740-7d86-11ee-8080-808080808080,1699372663,true,false,39.53410339355469
4b2d1740-7d86-11ee-8080-808080808080,1699372668,true,false,39.5130615234375
4b2d1740-7d86-11ee-8080-808080808080,1699372668,true,false,39.494056701660156
4b2d1740-7d86-11ee-8080-808080808080,1699372668,true,false,39.473487854003906
4b2d1740-7d86-11ee-8080-808080808080,1699372668,true,false,39.45991516113281
4b2d1740-7d86-11ee-8080-808080808080,1699372668,true,false,39.44858169555664
4b2d1740-7d86-11ee-8080-808080808080,1699372673,true,false,39.43901824951172
4b2d1740-7d86-11ee-8080-808080808080,1699372673,true,false,39.430416107177734
4b2d1740-7d86-11ee-8080-808080808080,1699372673,true,true,39.420711517333984
4b2d1740-7d86-11ee-8080-808080808080,1699372673,true,false,39.4132080078125
4b2d1740-7d86-11ee-8080-808080808080,1699372673,true,false,39.40573501586914
4b2d1740-7d86-11ee-8080-808080808080,1699372678,true,false,39.398284912109375
4b2d1740-7d86-11ee-8080-808080808080,1699372678,true,false,39.390098571777344
4b2d1740-7d86-11ee-8080-808080808080,1699372678,true,true,39.383426666259766
4b2d1740-7d86-11ee-8080-808080808080,1699372678,true,false,39.37582015991211
4b2d1740-7d86-11ee-8080-808080808080,1699372678,true,false,39.367347717285156
4b2d1740-7d86-11ee-8080-808080808080,1699372683,true,true,39.35884094238281
4b2d1740-7d86-11ee-8080-808080808080,1699372683,true,false,39.34602355957031
4b2d1740-7d86-11ee-8080-808080808080,1699372683,true,false,39.335750579833984
4b2d1740-7d86-11ee-8080-808080808080,1699372683,true,true,39.3268928527832
4b2d1740-7d86-11ee-8080-808080808080,1699372683,true,false,39.32079315185547
4b2d1740-7d86-11ee-8080-808080808080,1699372688,true,false,39.316768646240234
4b2d1740-7d86-11ee-8080-808080808080,1699372688,true,false,39.31379318237305
4b2d1740-7d86-11ee-8080-808080808080,1699372688,true,false,39.31277847290039
4b2d1740-7d86-11ee-8080-808080808080,1699372688,true,false,39.31318664550781
4b2d1740-7d86-11ee-8080-808080808080,1699372688,true,false,39.31459045410156
4b2d1740-7d86-11ee-8080-808080808080,1699372693,true,false,39.31837844848633
4b2d1740-7d86-11ee-8080-808080808080,1699372693,true,true,39.32194137573242
4b2d1740-7d86-11ee-8080-808080808080,1699372693,true,false,39.326534271240234
4b2d1740-7d86-11ee-8080-808080808080,1699372693,true,false,39.3319091796875
4b2d1740-7d86-11ee-8080-808080808080,1699372693,true,false,39.33747482299805
4b2d1740-7d86-11ee-8080-808080808080,1699372698,true,false,39.34476852416992
4b2d1740-7d86-11ee-8080-808080808080,1699372698,true,false,39.35090255737305
4b2d1740-7d86-11ee-8080-808080808080,1699372698,true,false,39.35668182373047
4b2d1740-7d86-11ee-8080-808080808080,1699372698,true,false,39.361358642578125
4b2d1740-7d86-11ee-8080-808080808080,1699372698,true,true,39.36540603637695
4b2d1740-7d86-11ee-8080-808080808080,1699372703,true,false,39.369232177734375
4b2d1740-7d86-11ee-8080-808080808080,1699372703,true,false,39.37099838256836
4b2d1740-7d86-11ee-8080-808080808080,1699372703,true,false,39.37228012084961
4b2d1740-7d86-11ee-8080-808080808080,1699372703,true,false,39.37240982055664
4b2d1740-7d86-11ee-8080-808080808080,1699372703,true,false,39.37173080444336
4b2d1740-7d86-11ee-8080-808080808080,1699372708,true,false,39.370391845703125
4b2d1740-7d86-11ee-8080-808080808080,1699372708,true,false,39.367855072021484
4b2d1740-7d86-11ee-8080-808080808080,1699372708,true,false,39.36422348022461
4b2d1740-7d86-11ee-8080-808080808080,1699372708,true,false,39.36017990112305
4b2d1740-7d86-11ee-8080-808080808080,1699372708,true,false,39.35680389404297
4b2d1740-7d86-11ee-8080-808080808080,1699372713,true,false,39.3540153503418
4b2d1740-7d86-11ee-8080-808080808080,1699372713,true,false,39.35105514526367
4b2d1740-7d86-11ee-8080-808080808080,1699372713,true,false,39.3483772277832
4b2d1740-7d86-11ee-8080-808080808080,1699372713,true,false,39.345985412597656
4b2d1740-7d86-11ee-8080-808080808080,1699372713,true,false,39.343177795410156
4b2d1740-7d86-11ee-8080-808080808080,1699372719,true,false,39.34097671508789
4b2d1740-7d86-11ee-8080-808080808080,1699372719,true,false,39.338417053222656
4b2d1740-7d86-11ee-8080-808080808080,1699372719,true,false,39.33592987060547
4b2d1740-7d86-11ee-8080-808080808080,1699372719,true,true,39.33163070678711
4b2d1740-7d86-11ee-8080-808080808080,1699372719,true,false,39.32748031616211
4b2d1740-7d86-11ee-8080-808080808080,1699372724,true,false,39.3227424621582
4b2d1740-7d86-11ee-8080-808080808080,1699372724,true,true,39.31910705566406
4b2d1740-7d86-11ee-8080-808080808080,1699372724,true,false,39.31622314453125
4b2d1740-7d86-11ee-8080-808080808080,1699372724,true,false,39.31356430053711
4b2d1740-7d86-11ee-8080-808080808080,1699372724,true,false,39.30900573730469
4b2d1740-7d86-11ee-8080-808080808080,1699372729,true,false,39.299110412597656
4b2d1740-7d86-11ee-8080-808080808080,1699372729,true,false,39.2872200012207
4b2d1740-7d86-11ee-8080-808080808080,1699372729,true,false,39.27439880371094
4b2d1740-7d86-11ee-8080-808080808080,1699372729,true,false,39.258846282958984
4b2d1740-7d86-11ee-8080-808080808080,1699372729,true,false,39.24649429321289
4b2d1740-7d86-11ee-8080-808080808080,1699372734,true,false,39.23422622680664
4b2d1740-7d86-11ee-8080-808080808080,1699372734,true,true,39.2231559753418
4b2d1740-7d86-11ee-8080-808080808080,1699372734,true,false,39.209861755371094
4b2d1740-7d86-11ee-8080-808080808080,1699372734,true,false,39.200347900390625
4b2d1740-7d86-11ee-8080-808080808080,1699372734,true,false,39.19381332397461
4b2d1740-7d86-11ee-8080-808080808080,1699372739,true,false,39.187042236328125
4b2d1740-7d86-11ee-8080-808080808080,1699372739,true,false,39.17906951904297
4b2d1740-7d86-11ee-8080-808080808080,1699372739,true,true,39.17062759399414
4b2d1740-7d86-11ee-8080-808080808080,1699372739,true,false,39.16559982299805
4b2d1740-7d86-11ee-8080-808080808080,1699372739,true,false,39.1617546081543
4b2d1740-7d86-11ee-8080-808080808080,1699372744,true,false,39.15984344482422
4b2d1740-7d86-11ee-8080-808080808080,1699372744,true,false,39.160118103027344
4b2d1740-7d86-11ee-8080-808080808080,1699372744,true,false,39.1630744934082
4b2d1740-7d86-11ee-8080-808080808080,1699372744,true,false,39.166786193847656
