sleep_id,sleep_type,minutes_in_sleep_period,minutes_after_wake_up,minutes_to_fall_asleep,minutes_asleep,minutes_awake,minutes_longest_awakening,minutes_to_persistent_sleep,start_utc_offset,sleep_start,end_utc_offset,sleep_end,data_source,sleep_created,sleep_last_updated
3241240326426185896,STAGES,653,0,0,625,28,0,0,+00:00,2024-01-04 20:59:30+0000,+00:00,2024-01-05 07:52:30+0000,DERIVED,2024-01-05 07:53:00+0000,2024-01-05 07:53:06+0000
3250404479939256136,STAGES,518,0,0,494,24,0,0,+00:00,2024-01-23 00:31:00+0000,+00:00,2024-01-23 09:09:00+0000,DERIVED,2024-01-23 08:20:00+0000,2024-01-23 08:20:54+0000
3267128320430201264,STAGES,569,0,0,544,25,0,0,+00:00,2024-01-25 00:09:00+0000,+00:00,2024-01-25 09:38:00+0000,DERIVED,2024-01-25 08:52:00+0000,2024-01-25 08:52:04+0000
3269886189842920256,STAGES,281,7,0,271,10,0,0,+00:00,2024-06-12 02:18:30+0000,+00:00,2024-06-12 07:06:30+0000,DERIVED,2024-06-12 05:58:00+0000,2024-06-12 05:58:48+0000
3307523734597001944,STAGES,539,0,0,503,36,0,0,+00:00,2023-10-17 22:11:00+0000,+00:00,2023-10-18 07:10:30+0000,DERIVED,2023-10-18 05:11:00+0000,2023-10-18 05:11:33+0000
3400920768292425112,STAGES,445,0,0,438,7,0,0,+00:00,2024-02-23 00:35:00+0000,+00:00,2024-02-23 08:00:30+0000,DERIVED,2024-02-23 07:36:00+0000,2024-02-23 07:36:09+0000
3406449385122513232,STAGES,515,0,0,510,5,0,0,+00:00,2024-06-24 23:35:00+0000,+00:00,2024-06-25 08:10:30+0000,DERIVED,2024-06-25 06:23:00+0000,2024-06-25 06:23:39+0000
3406933679875080664,STAGES,417,0,0,379,38,0,0,+00:00,2024-01-01 18:07:00+0000,+00:00,2024-01-02 01:04:30+0000,DERIVED,2024-01-01 19:28:00+0000,2024-01-02 01:17:32+0000
3445763262494540552,CLASSIC,123,3,0,121,2,0,0,+00:00,2024-04-19 01:33:00+0000,+00:00,2024-04-19 03:39:30+0000,DERIVED,2024-04-19 08:29:00+0000,2024-04-19 08:29:32+0000
3494858724905545632,STAGES,381,0,0,361,20,0,0,+00:00,2023-09-21 00:00:00+0000,+00:00,2023-09-21 06:21:00+0000,DERIVED,2023-09-21 04:34:00+0000,2023-09-21 04:34:36+0000
354176431617257064,STAGES,496,0,0,472,24,0,0,+00:00,2024-01-18 00:41:30+0000,+00:00,2024-01-18 08:57:30+0000,DERIVED,2024-01-18 08:10:00+0000,2024-01-18 08:10:28+0000
