sleep_id,sleep_score_id,data_source,score_utc_offset,score_time,overall_score,duration_score,composition_score,revitalization_score,sleep_time_minutes,deep_sleep_minutes,rem_sleep_percent,resting_heart_rate,sleep_goal_minutes,waso_count_long_wakes,waso_count_all_wake_time,restlessness_normalized,hr_below_resting_hr,sleep_score_created,sleep_score_last_updated
6050893543496385824,9167432000327674856,DERIVED,+00:00,2021-06-10 07:53:30+0000,86.638,-1,-1,-1,467,113,20.41,75,480,9.1666666666666661,37,0.0728862973760933,0.90649308903889425,2021-06-10 07:53:30+0000,2021-06-10 07:53:30+0000
608689630296282304,2961890174350850840,DERIVED,+00:00,2021-07-20 07:10:30+0000,80.898,-1,-1,-1,438,97,15.62,71,480,6,29,0.0660377358490566,0.65389408099688473,2021-07-20 07:10:30+0000,2021-07-20 07:10:30+0000
6100094636893853080,2358112744728853760,DERIVED,+00:00,2021-01-31 09:55:00+0000,74.222,-1,-1,-1,392,57,7.73,70,480,8.5,50,0.081767955801104977,0.90655209452201935,2021-01-31 09:55:00+0000,2021-01-31 09:55:00+0000
6194579180468151448,2295432572003421280,DERIVED,+00:00,2021-05-03 09:19:30+0000,79.06,78.938,66.394,91.97,445,56,12.05,65,480,17.333333333333336,64,0.047619047619047616,0.90404923874311627,2021-05-03 09:19:30+0000,2021-05-03 09:19:30+0000
6209646586371484440,3452759831993916320,DERIVED,+00:00,2021-03-09 09:28:00+0000,81.006,79.15,91.076,74.649,417,111,26.32,77,480,6.833333333333333,32,0.0605726872246696,0.53050483351235234,2021-03-09 09:28:00+0000,2021-03-09 09:28:00+0000
6243140857736628616,1978919450581945480,DERIVED,+00:00,2020-12-27 12:26:30+0000,84.705,-1,-1,-1,457,117,29.24,74,480,8.1666666666666679,40,0.05550049554013875,0.62440065681444989,2020-12-27 12:26:30+0000,2020-12-27 12:26:30+0000
6259991476547669784,8836444915645137432,DERIVED,+00:00,2021-02-08 07:29:00+0000,83.642,-1,-1,-1,409,75,21.27,70,480,4.3333333333333339,27,0.042986425339366516,0.86307007786429368,2021-02-08 07:29:00+0000,2021-02-08 07:29:00+0000
626686184012172640,5167090187769934008,DERIVED,+00:00,2021-07-09 07:53:30+0000,74.13,-1,-1,-1,426,86,14.08,73,480,8.6666666666666661,38,0.079831932773109238,0.21082206035379814,2021-07-09 07:53:30+0000,2021-07-09 07:53:30+0000
6272675242181622768,7597414692155690336,DERIVED,+00:00,2021-08-05 06:42:30+0000,74.184,-1,-1,-1,349,75,19.71,76,480,13.166666666666668,50,0.082007343941248464,0.77380660954712366,2021-08-05 06:42:30+0000,2021-08-05 06:42:30+0000
6280816472579404992,6919963376476377312,DERIVED,+00:00,2020-11-16 00:40:30+0000,67.254,-1,-1,-1,263,60,34.96,80,480,5.1666666666666661,21,0.04,0.49636048526863086,2020-11-16 00:40:30+0000,2020-11-16 00:40:30+0000
6296458839005570008,9158099639906684240,DERIVED,+00:00,2021-01-29 07:49:00+0000,78.683,-1,-1,-1,332,51,21.1,71,480,9.3333333333333321,32,0.043010752688172046,0.93114680946006245,2021-01-29 07:49:00+0000,2021-01-29 07:49:00+0000
6326157313601105896,7381683484491166120,DERIVED,+00:00,2020-12-24 11:30:30+0000,74.036,-1,-1,-1,459,82,24.12,69,480,16.833333333333332,61,0.082308420056764434,0.039545884578997159,2020-12-24 11:30:30+0000,2020-12-24 11:30:30+0000
6372183132137893600,928894947599737880,DERIVED,+00:00,2020-09-15 09:01:30+0000,83.274,-1,-1,-1,454,84,23.84,68,480,6.6666666666666661,34,0.07373737373737374,0.65311355311355312,2020-09-15 09:01:30+0000,2020-09-15 09:01:30+0000
6391525722039359808,4004702187181292320,DERIVED,+00:00,2021-04-15 08:19:30+0000,81.315,74.149,81.302,95.66,361,83,19.11,73,480,5.8333333333333339,26,0.045859872611464965,0.98662473794549266,2021-04-15 08:19:30+0000,2021-04-15 08:19:30+0000
6435218526606613432,6017823369226552000,DERIVED,+00:00,2021-01-01 10:31:30+0000,76.304,-1,-1,-1,420,80,17.13,77,480,15.5,56,0.085128205128205126,0.75285470085470085,2021-01-01 10:31:30+0000,2021-01-01 10:31:30+0000
6440751986580322488,9097228371067265984,DERIVED,+00:00,2021-02-17 06:46:00+0000,74.046,-1,-1,-1,360,83,19.4,72,480,7.4999999999999991,32,0.07634543178973717,0.43603828547648771,2021-02-17 06:46:00+0000,2021-02-17 06:46:00+0000
6459179527306243888,1676753126362074976,DERIVED,+00:00,2021-01-25 09:11:30+0000,80.057,-1,-1,-1,462,79,13.89,71,480,14.166666666666666,55,0.068506184586108465,0.8983507770377418,2021-01-25 09:11:30+0000,2021-01-25 09:11:30+0000
6464249789733743216,27671847231146808,DERIVED,+00:00,2020-11-29 10:47:30+0000,78.922,-1,-1,-1,514,130,37.21,79,480,10.666666666666666,50,0.078924544666088461,0.099479618386817,2020-11-29 10:47:30+0000,2020-11-29 10:47:30+0000
6489965408702474064,8449205491862905304,DERIVED,+00:00,2021-03-01 09:05:30+0000,83.783,84.2,85.969,80.76,448,82,29.99,75,480,6.3333333333333339,37,0.061803444782168183,0.67970280310705844,2021-03-01 09:05:30+0000,2021-03-01 09:05:30+0000
6515313675754406672,6205541496399213048,DERIVED,+00:00,2020-11-19 09:41:30+0000,89.988,-1,-1,-1,524,104,22.71,80,480,8.8333333333333339,50,0.065981148243359045,0.8791202513567552,2020-11-19 09:41:30+0000,2020-11-19 09:41:30+0000
6520161542651017752,5751680044137351808,DERIVED,+00:00,2021-07-24 05:35:30+0000,51.942,-1,-1,-1,270,60,16.34,73,480,17.166666666666664,57,0.16944024205748864,0.3266263237518911,2021-07-24 05:35:30+0000,2021-07-24 05:35:30+0000
6537975839901814848,705882981269025648,DERIVED,+00:00,2021-04-03 09:48:30+0000,81.066,74.196,84.344,91.53,365,56,21.96,73,480,5.8333333333333339,29,0.042659974905897118,0.87870485678704857,2021-04-03 09:48:30+0000,2021-04-03 09:48:30+0000
6578358247110472176,8085754352632060224,DERIVED,+00:00,2021-06-04 08:33:30+0000,80.398,-1,-1,-1,411,77,27.82,70,480,7.6666666666666661,37,0.0887185104052574,0.75184373859072651,2021-06-04 08:33:30+0000,2021-06-04 08:33:30+0000
6625763421598907936,6596981463075918504,DERIVED,+00:00,2020-11-30 07:40:00+0000,68.724,-1,-1,-1,301,66,25.58,82,480,13.5,43,0.036127167630057806,0.39901823281907434,2020-11-30 07:40:00+0000,2020-11-30 07:40:00+0000
6654595758074019368,8803974245834216408,DERIVED,+00:00,2021-03-15 07:05:00+0000,77.926,78.476,75.515,79.236,414,61,17.34,74,480,8.1666666666666661,33,0.063666300768386391,0.648995983935743,2021-03-15 07:05:00+0000,2021-03-15 07:05:00+0000
6752429757739897432,8433502650720930032,DERIVED,+00:00,2021-03-18 07:33:00+0000,70.695,70.6,85.193,56.386,331,80,31.21,72,480,5.666666666666667,25,0.052704576976421634,0.072062185642432552,2021-03-18 07:33:00+0000,2021-03-18 07:33:00+0000
6770079167692588936,2301417045788014352,DERIVED,+00:00,2021-05-31 07:34:30+0000,76.272,-1,-1,-1,373,84,25.55,75,480,10.666666666666668,44,0.090592334494773524,0.65129694154084394,2021-05-31 07:34:30+0000,2021-05-31 07:34:30+0000
6830709062842392424,9000403650681041104,DERIVED,+00:00,2020-11-12 07:49:00+0000,72.387,-1,-1,-1,360,83,15.38,82,480,16,54,0.059171597633136092,0.78103109012199923,2020-11-12 07:49:00+0000,2020-11-12 07:49:00+0000
692403786358189848,5493814893588732648,DERIVED,+00:00,2021-08-20 09:57:00+0000,81.191,-1,-1,-1,454,61,18.97,78,480,20.5,68,0.092018779342723012,0.98412698412698407,2021-08-20 09:57:00+0000,2021-08-20 09:57:00+0000
6945284311934366192,90223510466984528,DERIVED,+00:00,2021-02-22 06:15:30+0000,67.369,67.27,84.965,49.973,298,78,20.71,69,480,3.5,16,0.08964451313755796,0.030190623390005153,2021-02-22 06:15:30+0000,2021-02-22 06:15:30+0000
6955963176638165000,3597908173371889976,DERIVED,+00:00,2020-11-23 08:08:30+0000,85.495,-1,-1,-1,430,83,28.25,79,480,4.5,26,0.063372717508055856,0.79415329768270948,2020-11-23 08:08:30+0000,2020-11-23 08:08:30+0000
7016668099220997840,3711121314941783176,DERIVED,+00:00,2021-04-01 08:04:30+0000,78.582,69.871,83.531,91.055,336,43,23.56,76,480,6,33,0.066934404283801874,0.94020526550647032,2021-04-01 08:04:30+0000,2021-04-01 08:04:30+0000
703523098320151936,5287854176833829992,DERIVED,+00:00,2020-12-27 22:44:00+0000,63.723,-1,-1,-1,165,17,22.38,74,480,0,12,0.074585635359116026,0.22515555555555555,2020-12-27 22:44:00+0000,2020-12-27 22:44:00+0000
7076989594890665928,3341536648262300504,DERIVED,+00:00,2020-09-05 10:57:00+0000,90.682,-1,-1,-1,516,98,26.83,76,480,6,34,0.0873440285204991,0.967182573803382,2020-09-05 10:57:00+0000,2020-09-05 10:57:00+0000
