device_id,device_fitbit_device_type,algorithm_version,service_version,start_time,positive,heart_beats
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 04:55:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 04:57:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 05:00:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 05:02:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 05:05:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 05:07:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 05:10:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 05:12:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 05:15:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 05:17:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 05:20:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 05:22:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 05:25:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 05:27:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 05:30:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 05:32:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 05:35:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 05:37:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 05:40:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 05:42:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 05:45:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 05:47:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 05:50:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 05:52:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 05:55:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 05:57:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 06:00:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 06:02:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 06:05:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 06:07:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 06:10:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 06:12:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 06:15:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 06:17:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 06:20:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 06:22:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 06:25:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 06:32:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 06:35:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 06:50:00+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 06:52:30+0100,false,[]
81E8288B4C42,MELROY,1.7,2.13,2026-02-13 06:55:00+0100,false,[]
