name,objectives,schedule,status,update_time,meta,title,subtitle,rationale,domain,progress_start_time,progress_end_time,progress
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 16)",2025-12-07 00:00:00 - 2025-12-08 00:00:00,ENABLED,2025-12-06 23:22:35+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 16)",2025-12-07 00:00:00 - 2025-12-08 00:00:00,ENABLED,2025-12-07 08:03:41+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 17)",2025-01-24 00:00:00 - 2025-01-25 00:00:00,ENABLED,2025-01-24 10:51:23+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 17)",2025-10-20 00:00:00 - 2025-10-21 00:00:00,ENABLED,2025-10-19 22:25:28+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 17)",2025-10-20 00:00:00 - 2025-10-21 00:00:00,ENABLED,2025-10-20 05:39:09+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 17)",2025-10-21 00:00:00 - 2025-10-22 00:00:00,ENABLED,2025-10-20 22:22:01+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 17)",2025-10-21 00:00:00 - 2025-10-22 00:00:00,ENABLED,2025-10-21 06:22:47+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 17)",2025-10-22 00:00:00 - 2025-10-23 00:00:00,ENABLED,2025-10-21 22:25:26+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 17)",2025-10-22 00:00:00 - 2025-10-23 00:00:00,ENABLED,2025-10-22 06:18:24+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 17)",2025-10-23 00:00:00 - 2025-10-24 00:00:00,ENABLED,2025-10-22 22:23:58+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 17)",2025-10-23 00:00:00 - 2025-10-24 00:00:00,ENABLED,2025-10-23 05:34:49+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 17)",2025-10-24 00:00:00 - 2025-10-25 00:00:00,ENABLED,2025-10-23 22:25:40+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 17)",2025-10-24 00:00:00 - 2025-10-25 00:00:00,ENABLED,2025-10-24 05:32:27+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 17)",2025-11-22 00:00:00 - 2025-11-23 00:00:00,ENABLED,2025-11-22 05:26:27+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 18)",2025-09-17 00:00:00 - 2025-09-18 00:00:00,ENABLED,2025-09-16 22:19:01+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 18)",2025-09-17 00:00:00 - 2025-09-18 00:00:00,ENABLED,2025-09-17 06:56:26+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 18)",2025-09-18 00:00:00 - 2025-09-19 00:00:00,ENABLED,2025-09-17 22:20:05+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 18)",2025-09-18 00:00:00 - 2025-09-19 00:00:00,ENABLED,2025-09-18 05:08:31+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 18)",2025-09-19 00:00:00 - 2025-09-20 00:00:00,ENABLED,2025-09-18 22:29:13+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 18)",2025-09-20 00:00:00 - 2025-09-21 00:00:00,ENABLED,2025-09-19 22:27:41+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 18)",2025-09-21 00:00:00 - 2025-09-22 00:00:00,ENABLED,2025-09-20 22:46:23+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 18)",2025-09-21 00:00:00 - 2025-09-22 00:00:00,ENABLED,2025-09-21 05:13:50+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 18)",2025-12-08 00:00:00 - 2025-12-09 00:00:00,ENABLED,2025-12-07 23:24:20+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 18)",2025-12-08 00:00:00 - 2025-12-09 00:00:00,ENABLED,2025-12-08 05:24:07+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 18)",2025-12-09 00:00:00 - 2025-12-10 00:00:00,ENABLED,2025-12-08 23:18:27+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 18)",2025-12-09 00:00:00 - 2025-12-10 00:00:00,ENABLED,2025-12-09 06:04:22+0000,,,,,GOALS,,,
