timestamp,lap time,stroke count,stroke type,data source
2025-08-04T09:38:30Z,00:00:54.000,24,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T09:39:40Z,00:00:15.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T09:40:00Z,00:00:55.000,24,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T09:40:58Z,00:00:17.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T09:41:21Z,00:00:15.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T09:41:49Z,00:00:28.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T14:27:06Z,00:00:18.000,14,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T14:28:28Z,00:00:22.000,23,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T14:30:47Z,00:00:11.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T14:39:57Z,00:00:13.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T14:53:46Z,00:00:07.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T16:31:08Z,00:00:17.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T16:45:26Z,00:00:26.000,14,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T17:57:47Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T18:12:03Z,00:00:18.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T18:27:02Z,00:00:26.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-04T18:29:52Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-05T05:11:36Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-05T05:11:56Z,00:00:18.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-05T08:27:10Z,00:00:34.000,18,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-05T08:27:52Z,00:00:14.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
