timestamp,steps,distance millimeters,altitude gain millimeters,data source
2025-01-07T08:30:22Z,0,0,0,Charge 6
2025-01-07T08:30:23Z,0,0,0,Charge 6
2025-01-07T08:30:24Z,0,0,0,Charge 6
2025-01-07T08:30:25Z,0,0,0,Charge 6
2025-01-07T08:30:26Z,0,0,0,Charge 6
2025-01-07T08:30:27Z,0,0,0,Charge 6
2025-01-07T08:30:28Z,0,0,0,Charge 6
2025-01-07T08:30:29Z,0,0,0,Charge 6
2025-01-07T08:30:30Z,0,0,0,Charge 6
2025-01-07T08:30:31Z,0,0,0,Charge 6
2025-01-07T08:30:32Z,0,0,0,Charge 6
2025-01-07T08:30:33Z,0,0,0,Charge 6
2025-01-07T08:30:34Z,0,0,0,Charge 6
2025-01-07T08:30:35Z,0,0,0,Charge 6
2025-01-07T08:30:36Z,0,0,0,Charge 6
2025-01-07T08:30:37Z,0,0,0,Charge 6
2025-01-07T08:30:38Z,0,0,0,Charge 6
2025-01-07T08:30:39Z,0,0,0,Charge 6
2025-01-07T08:30:40Z,0,0,0,Charge 6
2025-01-07T08:30:41Z,0,0,0,Charge 6
2025-01-07T08:30:42Z,0,0,0,Charge 6
2025-01-07T08:30:43Z,0,0,0,Charge 6
2025-01-07T08:30:44Z,0,0,0,Charge 6
2025-01-07T08:30:45Z,0,0,0,Charge 6
2025-01-07T08:30:46Z,0,0,0,Charge 6
2025-01-07T08:30:47Z,0,0,0,Charge 6
2025-01-07T08:30:48Z,0,0,0,Charge 6
2025-01-07T08:30:49Z,0,0,0,Charge 6
2025-01-07T08:30:50Z,0,0,0,Charge 6
2025-01-07T08:30:51Z,0,0,0,Charge 6
2025-01-07T08:30:52Z,0,0,0,Charge 6
2025-01-07T08:30:53Z,0,0,0,Charge 6
2025-01-07T08:30:54Z,0,0,0,Charge 6
2025-01-07T08:30:55Z,0,0,0,Charge 6
2025-01-07T08:30:56Z,0,0,0,Charge 6
2025-01-07T08:30:57Z,0,0,0,Charge 6
2025-01-07T08:30:58Z,0,0,0,Charge 6
2025-01-07T08:30:59Z,0,0,0,Charge 6
2025-01-07T08:31:00Z,0,0,0,Charge 6
2025-01-07T08:31:01Z,0,0,0,Charge 6
2025-01-07T08:31:02Z,0,0,0,Charge 6
2025-01-07T08:31:03Z,0,0,0,Charge 6
2025-01-07T08:31:04Z,0,0,0,Charge 6
2025-01-07T08:31:05Z,0,0,0,Charge 6
2025-01-07T08:31:06Z,0,0,0,Charge 6
2025-01-07T08:31:07Z,0,0,0,Charge 6
2025-01-07T08:31:08Z,0,0,0,Charge 6
2025-01-07T08:31:09Z,0,0,0,Charge 6
2025-01-07T08:31:10Z,0,0,0,Charge 6
2025-01-07T08:31:11Z,0,0,0,Charge 6
2025-01-07T08:31:12Z,0,0,0,Charge 6
2025-01-07T08:31:13Z,0,0,0,Charge 6
2025-01-07T08:31:14Z,0,0,0,Charge 6
2025-01-07T08:31:15Z,0,0,0,Charge 6
2025-01-07T08:31:16Z,0,0,0,Charge 6
2025-01-07T08:31:17Z,0,0,0,Charge 6
2025-01-07T08:31:18Z,0,0,0,Charge 6
2025-01-07T08:31:19Z,0,0,0,Charge 6
2025-01-07T08:31:20Z,0,0,0,Charge 6
2025-01-07T08:31:21Z,0,0,0,Charge 6
2025-01-07T08:31:22Z,0,0,0,Charge 6
2025-01-07T08:31:23Z,0,0,0,Charge 6
2025-01-07T08:31:24Z,0,0,0,Charge 6
2025-01-07T08:31:25Z,0,0,0,Charge 6
2025-01-07T08:31:26Z,0,0,0,Charge 6
2025-01-07T08:31:27Z,0,0,0,Charge 6
2025-01-07T08:31:28Z,0,0,0,Charge 6
2025-01-07T08:31:29Z,0,0,0,Charge 6
2025-01-07T08:31:30Z,0,0,0,Charge 6
2025-01-07T08:31:31Z,0,0,0,Charge 6
