timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds,data source
2024-01-04T21:15:00Z,7.906,0.0,Fitbit App
2024-01-04T21:20:00Z,8.427,0.0,Fitbit App
2024-01-04T21:25:00Z,8.373,0.0,Fitbit App
2024-01-04T21:30:00Z,8.916,0.0,Fitbit App
2024-01-04T21:35:00Z,8.165,0.0,Fitbit App
2024-01-04T21:40:00Z,9.018,0.0,Fitbit App
2024-01-04T21:45:00Z,11.353,0.0,Fitbit App
2024-01-04T21:50:00Z,12.878,0.0,Fitbit App
2024-01-04T21:55:00Z,10.152,0.0,Fitbit App
2024-01-04T22:00:00Z,9.211,0.0,Fitbit App
2024-01-04T22:05:00Z,9.755,0.0,Fitbit App
2024-01-04T22:10:00Z,7.943,0.0,Fitbit App
2024-01-04T22:15:00Z,9.404,0.0,Fitbit App
2024-01-04T22:20:00Z,8.526,0.0,Fitbit App
2024-01-04T22:25:00Z,8.211,0.0,Fitbit App
2024-01-04T22:30:00Z,8.534,0.0,Fitbit App
2024-01-04T22:35:00Z,8.416,0.0,Fitbit App
2024-01-04T22:40:00Z,10.499,0.0,Fitbit App
2024-01-04T22:45:00Z,12.69,0.0,Fitbit App
2024-01-04T22:50:00Z,11.142,0.0,Fitbit App
2024-01-04T22:55:00Z,9.588,0.0,Fitbit App
2024-01-04T23:00:00Z,9.303,0.0,Fitbit App
2024-01-04T23:05:00Z,8.305,0.0,Fitbit App
2024-01-04T23:10:00Z,9.048,0.0,Fitbit App
2024-01-04T23:15:00Z,9.062,0.0,Fitbit App
2024-01-04T23:20:00Z,8.553,0.0,Fitbit App
2024-01-04T23:25:00Z,12.745,0.0,Fitbit App
2024-01-04T23:30:00Z,13.339,0.0,Fitbit App
2024-01-04T23:35:00Z,10.716,0.0,Fitbit App
2024-01-04T23:40:00Z,13.712,0.0,Fitbit App
2024-01-04T23:45:00Z,15.642,0.0,Fitbit App
2024-01-04T23:50:00Z,18.274,0.0,Fitbit App
2024-01-04T23:55:00Z,11.932,0.0,Fitbit App
2024-01-05T00:00:00Z,11.227,0.0,Fitbit App
2024-01-05T00:05:00Z,10.568,0.0,Fitbit App
2024-01-05T00:10:00Z,9.644,0.0,Fitbit App
2024-01-05T00:15:00Z,10.922,0.0,Fitbit App
2024-01-05T00:20:00Z,10.984,0.0,Fitbit App
2024-01-05T00:25:00Z,11.809,0.0,Fitbit App
2024-01-05T00:30:00Z,11.465,0.0,Fitbit App
2024-01-05T00:35:00Z,12.384,0.0,Fitbit App
2024-01-05T00:40:00Z,16.047,0.0,Fitbit App
2024-01-05T00:45:00Z,13.277,0.0,Fitbit App
2024-01-05T00:50:00Z,13.463,0.0,Fitbit App
2024-01-05T00:55:00Z,14.319,0.0,Fitbit App
2024-01-05T01:00:00Z,13.518,0.0,Fitbit App
2024-01-05T01:05:00Z,14.22,0.0,Fitbit App
2024-01-05T01:10:00Z,14.94,0.0,Fitbit App
2024-01-05T01:15:00Z,13.639,0.0,Fitbit App
2024-01-05T01:20:00Z,15.758,0.0,Fitbit App
2024-01-05T01:25:00Z,14.101,0.0,Fitbit App
2024-01-05T01:30:00Z,13.961,0.0,Fitbit App
2024-01-05T01:35:00Z,14.867,0.0,Fitbit App
2024-01-05T01:40:00Z,15.181,0.0,Fitbit App
2024-01-05T01:45:00Z,15.194,0.0,Fitbit App
2024-01-05T01:50:00Z,15.966,0.0,Fitbit App
2024-01-05T01:55:00Z,15.938,0.0,Fitbit App
2024-01-05T02:00:00Z,14.761,0.0,Fitbit App
2024-01-05T02:05:00Z,16.197,0.0,Fitbit App
2024-01-05T02:10:00Z,16.851,0.0,Fitbit App
2024-01-05T02:15:00Z,17.541,0.0,Fitbit App
2024-01-05T02:20:00Z,15.067,0.0,Fitbit App
2024-01-05T02:25:00Z,13.898,0.0,Fitbit App
2024-01-05T02:30:00Z,14.841,0.0,Fitbit App
2024-01-05T02:35:00Z,14.061,0.0,Fitbit App
2024-01-05T02:40:00Z,14.766,0.0,Fitbit App
2024-01-05T02:45:00Z,12.24,0.0,Fitbit App
2024-01-05T02:50:00Z,13.978,0.0,Fitbit App
2024-01-05T02:55:00Z,12.092,0.0,Fitbit App
2024-01-05T03:00:00Z,10.89,0.0,Fitbit App
2024-01-05T03:05:00Z,12.964,0.0,Fitbit App
2024-01-05T03:10:00Z,12.092,0.0,Fitbit App
2024-01-05T03:15:00Z,11.82,0.0,Fitbit App
2024-01-05T03:20:00Z,11.642,0.0,Fitbit App
2024-01-05T03:25:00Z,10.979,0.0,Fitbit App
2024-01-05T03:30:00Z,11.292,0.0,Fitbit App
2024-01-05T03:35:00Z,12.315,0.0,Fitbit App
2024-01-05T03:40:00Z,11.962,0.0,Fitbit App
2024-01-05T03:45:00Z,11.497,0.0,Fitbit App
2024-01-05T03:50:00Z,9.126,0.0,Fitbit App
2024-01-05T03:55:00Z,13.359,0.0,Fitbit App
2024-01-05T04:00:00Z,11.688,0.0,Fitbit App
2024-01-05T04:05:00Z,10.937,0.0,Fitbit App
2024-01-05T04:10:00Z,14.476,0.0,Fitbit App
2024-01-05T04:15:00Z,11.923,0.0,Fitbit App
2024-01-05T04:20:00Z,11.077,0.0,Fitbit App
2024-01-05T04:25:00Z,11.119,0.0,Fitbit App
2024-01-05T04:30:00Z,14.391,0.0,Fitbit App
2024-01-05T04:35:00Z,10.465,0.0,Fitbit App
2024-01-05T04:40:00Z,11.039,0.0,Fitbit App
2024-01-05T04:45:00Z,9.104,0.0,Fitbit App
2024-01-05T04:50:00Z,11.239,0.0,Fitbit App
2024-01-05T04:55:00Z,11.721,0.0,Fitbit App
2024-01-05T05:00:00Z,9.832,0.0,Fitbit App
2024-01-05T05:05:00Z,13.7,0.0,Fitbit App
2024-01-05T05:10:00Z,12.989,0.0,Fitbit App
2024-01-05T05:15:00Z,14.487,0.0,Fitbit App
2024-01-05T05:20:00Z,13.594,0.0,Fitbit App
2024-01-05T05:25:00Z,12.882,0.0,Fitbit App
2024-01-05T05:30:00Z,14.49,0.0,Fitbit App
2024-01-05T05:35:00Z,15.987,0.0,Fitbit App
2024-01-05T05:40:00Z,14.912,0.0,Fitbit App
2024-01-05T05:45:00Z,12.494,0.0,Fitbit App
2024-01-05T05:50:00Z,14.622,0.0,Fitbit App
2024-01-05T05:55:00Z,15.117,0.0,Fitbit App
2024-01-05T06:00:00Z,16.91,0.0,Fitbit App
2024-01-05T06:05:00Z,12.172,0.0,Fitbit App
2024-01-05T06:10:00Z,15.278,0.0,Fitbit App
2024-01-05T06:15:00Z,18.211,0.0,Fitbit App
2024-01-05T06:20:00Z,11.323,0.0,Fitbit App
2024-01-05T06:25:00Z,13.528,0.0,Fitbit App
2024-01-05T06:30:00Z,15.675,0.0,Fitbit App
2024-01-05T06:35:00Z,15.727,0.0,Fitbit App
2024-01-05T06:40:00Z,13.236,0.0,Fitbit App
2024-01-05T06:45:00Z,13.624,0.0,Fitbit App
2024-01-05T06:50:00Z,10.785,0.0,Fitbit App
2024-01-05T06:55:00Z,15.529,0.0,Fitbit App
2024-01-05T07:00:00Z,11.956,0.0,Fitbit App
2024-01-05T07:05:00Z,12.6,0.0,Fitbit App
2024-01-05T07:10:00Z,12.61,0.0,Fitbit App
2024-01-05T07:15:00Z,14.999,0.0,Fitbit App
2024-01-05T07:20:00Z,15.936,0.0,Fitbit App
2024-01-05T07:25:00Z,17.746,0.0,Fitbit App
2024-01-05T07:30:00Z,11.746,0.0,Fitbit App
2024-01-05T07:35:00Z,18.24,0.0,Fitbit App
2024-01-05T07:40:00Z,13.935,0.0,Fitbit App
2024-01-06T02:30:00Z,9.708,0.0,Fitbit App
2024-01-06T02:35:00Z,9.078,0.0,Fitbit App
2024-01-06T02:40:00Z,8.616,0.0,Fitbit App
2024-01-06T02:45:00Z,9.858,0.0,Fitbit App
2024-01-06T02:50:00Z,10.37,0.0,Fitbit App
2024-01-06T02:55:00Z,9.513,0.0,Fitbit App
2024-01-06T03:00:00Z,9.279,0.0,Fitbit App
2024-01-06T03:05:00Z,10.038,0.0,Fitbit App
2024-01-06T03:10:00Z,10.391,0.0,Fitbit App
2024-01-06T03:15:00Z,10.98,0.0,Fitbit App
2024-01-06T03:20:00Z,11.248,0.0,Fitbit App
2024-01-06T03:25:00Z,13.187,0.0,Fitbit App
2024-01-06T03:30:00Z,10.224,0.0,Fitbit App
2024-01-06T03:35:00Z,12.058,0.0,Fitbit App
2024-01-06T03:40:00Z,10.602,0.0,Fitbit App
2024-01-06T03:45:00Z,11.56,0.0,Fitbit App
2024-01-06T03:50:00Z,13.707,0.0,Fitbit App
2024-01-06T03:55:00Z,14.049,0.0,Fitbit App
2024-01-06T04:00:00Z,12.541,0.0,Fitbit App
2024-01-06T04:05:00Z,10.098,0.0,Fitbit App
2024-01-06T04:10:00Z,10.675,0.0,Fitbit App
2024-01-06T04:15:00Z,10.5,0.0,Fitbit App
2024-01-06T04:20:00Z,11.708,0.0,Fitbit App
2024-01-06T04:25:00Z,11.875,0.0,Fitbit App
2024-01-06T04:30:00Z,16.32,0.0,Fitbit App
2024-01-06T04:35:00Z,11.065,0.0,Fitbit App
2024-01-06T04:40:00Z,10.51,0.0,Fitbit App
2024-01-06T04:45:00Z,10.108,0.0,Fitbit App
2024-01-06T04:50:00Z,10.231,0.0,Fitbit App
2024-01-06T04:55:00Z,10.777,0.0,Fitbit App
2024-01-06T05:00:00Z,10.385,0.0,Fitbit App
2024-01-06T05:05:00Z,10.261,0.0,Fitbit App
2024-01-06T05:10:00Z,9.723,0.0,Fitbit App
2024-01-06T05:15:00Z,10.175,0.0,Fitbit App
2024-01-06T05:20:00Z,9.238,0.0,Fitbit App
2024-01-06T05:25:00Z,9.822,0.0,Fitbit App
2024-01-06T05:30:00Z,9.943,0.0,Fitbit App
2024-01-06T05:35:00Z,9.068,0.0,Fitbit App
2024-01-06T05:40:00Z,9.329,0.0,Fitbit App
2024-01-06T05:45:00Z,9.56,0.0,Fitbit App
2024-01-06T05:50:00Z,11.423,0.0,Fitbit App
2024-01-06T05:55:00Z,10.75,0.0,Fitbit App
2024-01-06T06:00:00Z,10.469,0.0,Fitbit App
2024-01-06T06:05:00Z,14.129,0.0,Fitbit App
2024-01-06T06:10:00Z,11.113,0.0,Fitbit App
2024-01-06T06:15:00Z,13.121,0.0,Fitbit App
2024-01-06T06:20:00Z,11.087,0.0,Fitbit App
2024-01-06T06:25:00Z,13.238,0.0,Fitbit App
2024-01-06T06:30:00Z,13.049,0.0,Fitbit App
2024-01-06T06:35:00Z,14.74,0.0,Fitbit App
2024-01-06T06:40:00Z,13.673,0.0,Fitbit App
2024-01-06T06:45:00Z,9.827,0.0,Fitbit App
2024-01-06T06:50:00Z,13.363,0.0,Fitbit App
2024-01-06T06:55:00Z,12.516,0.0,Fitbit App
2024-01-06T07:00:00Z,12.139,0.0,Fitbit App
2024-01-06T07:05:00Z,12.241,0.0,Fitbit App
2024-01-06T07:10:00Z,9.323,0.0,Fitbit App
2024-01-06T07:15:00Z,9.44,0.0,Fitbit App
2024-01-06T07:20:00Z,9.119,0.0,Fitbit App
2024-01-06T07:25:00Z,10.09,0.0,Fitbit App
2024-01-06T07:30:00Z,14.324,0.0,Fitbit App
2024-01-06T07:35:00Z,16.811,0.0,Fitbit App
2024-01-06T07:40:00Z,14.365,0.0,Fitbit App
2024-01-06T07:45:00Z,15.247,0.0,Fitbit App
2024-01-06T07:50:00Z,16.333,0.0,Fitbit App
