timestamp,heart rate zone,total minutes,data source
2021-06-09T16:30:00Z,FAT_BURN,1,Charge 4
2021-06-09T16:31:00Z,CARDIO,2,Charge 4
2021-06-09T16:32:00Z,CARDIO,2,Charge 4
2021-06-09T16:33:00Z,CARDIO,2,Charge 4
2021-06-09T16:34:00Z,CARDIO,2,Charge 4
2021-06-09T16:35:00Z,CARDIO,2,Charge 4
2021-06-09T16:36:00Z,CARDIO,2,Charge 4
2021-06-09T16:37:00Z,CARDIO,2,Charge 4
2021-06-09T16:38:00Z,FAT_BURN,1,Charge 4
2021-06-09T18:12:00Z,FAT_BURN,1,Charge 4
2021-06-10T08:59:00Z,FAT_BURN,1,Charge 4
2021-06-10T09:00:00Z,FAT_BURN,1,Charge 4
2021-06-10T09:01:00Z,FAT_BURN,1,Charge 4
2021-06-10T09:02:00Z,FAT_BURN,1,Charge 4
2021-06-10T09:03:00Z,FAT_BURN,1,Charge 4
2021-06-10T09:05:00Z,FAT_BURN,1,Charge 4
2021-06-10T09:12:00Z,FAT_BURN,1,Charge 4
2021-06-10T09:13:00Z,FAT_BURN,1,Charge 4
2021-06-10T09:14:00Z,FAT_BURN,1,Charge 4
2021-06-10T09:15:00Z,FAT_BURN,1,Charge 4
2021-06-10T09:16:00Z,FAT_BURN,1,Charge 4
2021-06-10T09:17:00Z,FAT_BURN,1,Charge 4
2021-06-10T09:18:00Z,FAT_BURN,1,Charge 4
2021-06-10T09:19:00Z,FAT_BURN,1,Charge 4
2021-06-10T09:20:00Z,FAT_BURN,1,Charge 4
2021-06-10T09:21:00Z,FAT_BURN,1,Charge 4
2021-06-10T09:22:00Z,FAT_BURN,1,Charge 4
2021-06-10T09:24:00Z,FAT_BURN,1,Charge 4
2021-06-10T09:25:00Z,FAT_BURN,1,Charge 4
2021-06-10T09:26:00Z,FAT_BURN,1,Charge 4
2021-06-10T09:27:00Z,FAT_BURN,1,Charge 4
2021-06-10T09:28:00Z,FAT_BURN,1,Charge 4
2021-06-10T09:38:00Z,FAT_BURN,1,Charge 4
2021-06-10T09:39:00Z,FAT_BURN,1,Charge 4
2021-06-10T09:40:00Z,FAT_BURN,1,Charge 4
2021-06-10T09:42:00Z,FAT_BURN,1,Charge 4
2021-06-10T09:43:00Z,FAT_BURN,1,Charge 4
2021-06-10T09:44:00Z,FAT_BURN,1,Charge 4
2021-06-10T09:45:00Z,FAT_BURN,1,Charge 4
2021-06-10T09:46:00Z,FAT_BURN,1,Charge 4
2021-06-10T14:36:00Z,FAT_BURN,1,Charge 4
2021-06-11T08:59:00Z,CARDIO,2,Charge 4
2021-06-11T10:57:00Z,FAT_BURN,1,Charge 4
2021-06-11T10:58:00Z,FAT_BURN,1,Charge 4
2021-06-11T10:59:00Z,FAT_BURN,1,Charge 4
2021-06-11T11:00:00Z,FAT_BURN,1,Charge 4
2021-06-11T11:01:00Z,FAT_BURN,1,Charge 4
2021-06-11T11:02:00Z,FAT_BURN,1,Charge 4
2021-06-11T11:03:00Z,FAT_BURN,1,Charge 4
2021-06-11T11:04:00Z,FAT_BURN,1,Charge 4
2021-06-11T11:05:00Z,FAT_BURN,1,Charge 4
2021-06-11T11:06:00Z,FAT_BURN,1,Charge 4
2021-06-11T11:07:00Z,FAT_BURN,1,Charge 4
2021-06-11T11:08:00Z,FAT_BURN,1,Charge 4
2021-06-11T11:09:00Z,FAT_BURN,1,Charge 4
2021-06-11T11:10:00Z,FAT_BURN,1,Charge 4
2021-06-11T11:11:00Z,FAT_BURN,1,Charge 4
2021-06-11T11:12:00Z,FAT_BURN,1,Charge 4
2021-06-11T11:13:00Z,FAT_BURN,1,Charge 4
2021-06-11T11:20:00Z,FAT_BURN,1,Charge 4
2021-06-11T11:21:00Z,CARDIO,2,Charge 4
2021-06-11T11:22:00Z,FAT_BURN,1,Charge 4
2021-06-11T11:23:00Z,FAT_BURN,1,Charge 4
2021-06-11T11:24:00Z,FAT_BURN,1,Charge 4
2021-06-11T11:25:00Z,FAT_BURN,1,Charge 4
2021-06-11T11:26:00Z,CARDIO,2,Charge 4
2021-06-11T11:27:00Z,CARDIO,2,Charge 4
2021-06-11T11:28:00Z,CARDIO,2,Charge 4
2021-06-11T11:29:00Z,FAT_BURN,1,Charge 4
2021-06-11T11:30:00Z,FAT_BURN,1,Charge 4
2021-06-11T11:51:00Z,FAT_BURN,1,Charge 4
2021-06-11T11:52:00Z,FAT_BURN,1,Charge 4
2021-06-11T11:53:00Z,FAT_BURN,1,Charge 4
2021-06-11T11:54:00Z,FAT_BURN,1,Charge 4
2021-06-11T18:45:00Z,FAT_BURN,1,Charge 4
2021-06-11T18:47:00Z,FAT_BURN,1,Charge 4
2021-06-11T18:48:00Z,FAT_BURN,1,Charge 4
2021-06-11T18:49:00Z,FAT_BURN,1,Charge 4
2021-06-11T18:51:00Z,FAT_BURN,1,Charge 4
2021-06-11T18:53:00Z,FAT_BURN,1,Charge 4
2021-06-11T18:54:00Z,FAT_BURN,1,Charge 4
2021-06-11T18:55:00Z,FAT_BURN,1,Charge 4
2021-06-11T18:57:00Z,FAT_BURN,1,Charge 4
2021-06-11T18:59:00Z,FAT_BURN,1,Charge 4
2021-06-11T19:00:00Z,FAT_BURN,1,Charge 4
2021-06-11T19:01:00Z,FAT_BURN,1,Charge 4
2021-06-11T19:19:00Z,FAT_BURN,1,Charge 4
2021-06-11T21:36:00Z,FAT_BURN,1,Charge 4
2021-06-11T21:37:00Z,FAT_BURN,1,Charge 4
2021-06-11T21:38:00Z,FAT_BURN,1,Charge 4
2021-06-11T21:50:00Z,FAT_BURN,1,Charge 4
2021-06-11T21:55:00Z,FAT_BURN,1,Charge 4
2021-06-11T21:59:00Z,FAT_BURN,1,Charge 4
2021-06-13T09:18:00Z,FAT_BURN,1,Charge 4
2021-06-13T09:19:00Z,CARDIO,2,Charge 4
2021-06-13T09:20:00Z,FAT_BURN,1,Charge 4
2021-06-13T09:21:00Z,FAT_BURN,1,Charge 4
