timestamp,gain,data source
2023-01-22T23:27:00Z,3048,Charge 4
2023-01-23T17:56:00Z,3048,Charge 4
2023-01-23T19:14:00Z,3048,Charge 4
2023-01-23T23:13:00Z,3048,Charge 4
2023-01-24T06:29:00Z,3048,Charge 4
2023-01-24T07:18:00Z,3048,Charge 4
2023-01-24T07:26:00Z,6096,Charge 4
2023-01-24T07:28:00Z,3048,Charge 4
2023-01-24T07:30:00Z,3048,Charge 4
2023-01-24T07:48:00Z,3048,Charge 4
2023-01-24T08:21:00Z,3048,Charge 4
2023-01-24T08:22:00Z,3048,Charge 4
2023-01-24T08:23:00Z,6096,Charge 4
2023-01-24T08:24:00Z,6096,Charge 4
2023-01-24T08:25:00Z,6096,Charge 4
2023-01-24T09:21:00Z,3048,Charge 4
2023-01-24T11:20:00Z,6096,Charge 4
2023-01-24T11:21:00Z,9144,Charge 4
2023-01-24T11:53:00Z,6096,Charge 4
2023-01-24T11:55:00Z,3048,Charge 4
2023-01-24T13:31:00Z,3048,Charge 4
2023-01-24T15:52:00Z,3048,Charge 4
2023-01-24T15:53:00Z,3048,Charge 4
2023-01-24T15:55:00Z,3048,Charge 4
2023-01-24T15:56:00Z,3048,Charge 4
2023-01-24T15:58:00Z,3048,Charge 4
2023-01-24T16:23:00Z,3048,Charge 4
2023-01-24T16:24:00Z,3048,Charge 4
2023-01-24T16:30:00Z,6096,Charge 4
2023-01-24T16:31:00Z,3048,Charge 4
2023-01-24T16:32:00Z,3048,Charge 4
2023-01-24T16:33:00Z,3048,Charge 4
2023-01-24T17:21:00Z,6096,Charge 4
2023-01-24T17:22:00Z,3048,Charge 4
2023-01-24T17:23:00Z,3048,Charge 4
2023-01-24T17:24:00Z,3048,Charge 4
2023-01-24T17:25:00Z,6096,Charge 4
2023-01-24T17:26:00Z,6096,Charge 4
2023-01-24T17:27:00Z,3048,Charge 4
2023-01-24T17:29:00Z,3048,Charge 4
2023-01-24T18:09:00Z,3048,Charge 4
2023-01-25T06:40:00Z,3048,Charge 4
2023-01-25T08:24:00Z,3048,Charge 4
2023-01-25T08:38:00Z,3048,Charge 4
