timestamp,level,data source
2025-03-01T20:10:15Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T20:11:15Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T20:12:15Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T20:15:15Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T20:16:15Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T20:17:15Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T20:18:15Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T20:19:15Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T20:27:15Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T20:28:15Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T20:35:15Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T20:36:15Z,MODERATELY_ACTIVE,Fitbit App
2025-03-01T20:37:15Z,VERY_ACTIVE,Fitbit App
2025-03-01T20:38:15Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T20:40:15Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T20:41:15Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T21:09:15Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T21:10:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T21:11:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T21:12:40Z,VERY_ACTIVE,Fitbit App
2025-03-01T21:13:40Z,VERY_ACTIVE,Fitbit App
2025-03-01T21:14:40Z,VERY_ACTIVE,Fitbit App
2025-03-01T21:15:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T21:19:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T21:20:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T21:30:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T21:31:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T21:32:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T21:37:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T21:38:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T21:41:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T21:42:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T21:58:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T21:59:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T22:04:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T22:05:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-01T22:06:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T07:07:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T07:08:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T07:09:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T07:10:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T07:18:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T07:19:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T07:20:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T07:29:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T07:30:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T13:16:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T13:17:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T13:28:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T13:29:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T13:57:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T13:58:40Z,SEDENTARY,Fitbit App
2025-03-02T14:12:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T14:13:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T14:26:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T14:27:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T14:28:40Z,MODERATELY_ACTIVE,Fitbit App
2025-03-02T14:29:40Z,VERY_ACTIVE,Fitbit App
2025-03-02T14:30:40Z,VERY_ACTIVE,Fitbit App
2025-03-02T14:31:40Z,VERY_ACTIVE,Fitbit App
2025-03-02T14:32:40Z,MODERATELY_ACTIVE,Fitbit App
2025-03-02T14:33:40Z,VERY_ACTIVE,Fitbit App
2025-03-02T14:34:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T14:35:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T14:37:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T14:38:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T14:44:40Z,LIGHTLY_ACTIVE,Fitbit App
2025-03-02T14:45:40Z,MODERATELY_ACTIVE,Fitbit App
2025-03-02T14:46:40Z,VERY_ACTIVE,Fitbit App
2025-03-02T14:47:40Z,VERY_ACTIVE,Fitbit App
2025-03-02T14:48:40Z,VERY_ACTIVE,Fitbit App
2025-03-02T14:49:40Z,MODERATELY_ACTIVE,Fitbit App
2025-03-02T14:50:40Z,MODERATELY_ACTIVE,Fitbit App
2025-03-02T14:51:40Z,VERY_ACTIVE,Fitbit App
2025-03-02T14:52:40Z,VERY_ACTIVE,Fitbit App
2025-03-02T14:53:40Z,VERY_ACTIVE,Fitbit App
