timestamp,distance,data source
2023-06-03T16:32:00Z,28.40,Charge 5
2023-06-03T16:33:00Z,12.20,Charge 5
2023-06-03T16:34:00Z,29.20,Charge 5
2023-06-03T16:35:00Z,22.20,Charge 5
2023-06-03T16:36:00Z,22.20,Charge 5
2023-06-03T16:37:00Z,33.80,Charge 5
2023-06-03T16:38:00Z,23.80,Charge 5
2023-06-03T16:39:00Z,20.70,Charge 5
2023-06-03T16:40:00Z,20.70,Charge 5
2023-06-03T16:41:00Z,19.10,Charge 5
2023-06-03T16:42:00Z,33.00,Charge 5
2023-06-03T16:43:00Z,46.80,Charge 5
2023-06-03T16:44:00Z,60.70,Charge 5
2023-06-03T16:45:00Z,56.00,Charge 5
2023-06-03T16:46:00Z,61.40,Charge 5
2023-06-03T16:49:00Z,15.30,Charge 5
2023-06-03T16:50:00Z,30.70,Charge 5
2023-06-03T16:51:00Z,73.70,Charge 5
2023-06-03T16:52:00Z,62.20,Charge 5
2023-06-03T16:53:00Z,62.20,Charge 5
2023-06-03T16:54:00Z,55.30,Charge 5
2023-06-03T16:55:00Z,56.00,Charge 5
2023-06-03T16:56:00Z,19.90,Charge 5
2023-06-03T16:57:00Z,19.20,Charge 5
2023-06-03T17:22:00Z,13.00,Charge 5
2023-06-03T17:23:00Z,13.00,Charge 5
2023-06-03T17:29:00Z,66.10,Charge 5
2023-06-03T17:30:00Z,82.30,Charge 5
2023-06-03T17:31:00Z,89.20,Charge 5
2023-06-03T17:32:00Z,73.80,Charge 5
2023-06-03T17:33:00Z,49.20,Charge 5
2023-06-03T17:34:00Z,5.30,Charge 5
2023-06-03T17:35:00Z,16.10,Charge 5
2023-06-03T18:04:00Z,7.60,Charge 5
2023-06-03T18:05:00Z,6.10,Charge 5
2023-06-03T18:09:00Z,7.60,Charge 5
2023-06-03T18:17:00Z,5.30,Charge 5
2023-06-03T18:22:00Z,10.70,Charge 5
2023-06-03T18:24:00Z,11.50,Charge 5
2023-06-03T18:25:00Z,6.90,Charge 5
2023-06-03T18:26:00Z,3.80,Charge 5
2023-06-03T18:28:00Z,9.20,Charge 5
2023-06-03T18:29:00Z,13.00,Charge 5
2023-06-03T18:32:00Z,4.60,Charge 5
2023-06-03T19:17:00Z,7.60,Charge 5
2023-06-03T19:30:00Z,9.90,Charge 5
2023-06-03T19:38:00Z,21.50,Charge 5
