timestamp,light,moderate,very,data source
2023-05-02T15:26:00Z,0,0,1,Fitbit App
2023-05-02T15:27:00Z,0,0,1,Fitbit App
2023-05-02T15:28:00Z,0,0,1,Fitbit App
2023-05-02T15:29:00Z,0,0,1,Fitbit App
2023-05-02T15:30:00Z,0,0,1,Fitbit App
2023-05-02T15:31:00Z,0,0,1,Fitbit App
2023-05-02T15:32:00Z,0,0,1,Fitbit App
2023-05-02T15:33:00Z,0,0,1,Fitbit App
2023-05-02T15:34:00Z,0,1,0,Fitbit App
2023-05-02T15:35:00Z,0,0,1,Fitbit App
2023-05-02T15:36:00Z,0,0,1,Fitbit App
2023-05-02T15:37:00Z,0,0,1,Fitbit App
2023-05-02T15:38:00Z,0,1,0,Fitbit App
2023-05-02T15:40:00Z,1,0,0,Fitbit App
2023-05-02T15:42:00Z,1,0,0,Fitbit App
2023-05-02T15:43:00Z,1,0,0,Fitbit App
2023-05-02T16:18:00Z,1,0,0,Fitbit App
2023-05-02T16:19:00Z,1,0,0,Fitbit App
2023-05-02T16:21:00Z,1,0,0,Fitbit App
2023-05-02T16:22:00Z,1,0,0,Fitbit App
2023-05-02T16:23:00Z,1,0,0,Fitbit App
2023-05-02T16:24:00Z,1,0,0,Fitbit App
2023-05-02T16:25:00Z,1,0,0,Fitbit App
2023-05-02T16:26:00Z,1,0,0,Fitbit App
2023-05-02T16:27:00Z,1,0,0,Fitbit App
2023-05-02T16:28:00Z,1,0,0,Fitbit App
2023-05-02T16:29:00Z,1,0,0,Fitbit App
2023-05-02T16:30:00Z,1,0,0,Fitbit App
2023-05-02T16:32:00Z,1,0,0,Fitbit App
2023-05-02T16:33:00Z,1,0,0,Fitbit App
2023-05-02T16:34:00Z,1,0,0,Fitbit App
2023-05-02T16:35:00Z,1,0,0,Fitbit App
2023-05-02T16:36:00Z,1,0,0,Fitbit App
2023-05-02T16:37:00Z,1,0,0,Fitbit App
2023-05-02T16:38:00Z,1,0,0,Fitbit App
2023-05-02T16:39:00Z,1,0,0,Fitbit App
