timestamp,temperature celsius,data source
2026-02-28T02:56:00Z,30.3,Charge 6
2026-02-28T02:57:00Z,30.3,Charge 6
2026-02-28T02:58:00Z,30.3,Charge 6
2026-02-28T02:59:00Z,30.3,Charge 6
2026-02-28T03:00:00Z,30.3,Charge 6
2026-02-28T03:01:00Z,30.4,Charge 6
2026-02-28T03:02:00Z,30.4,Charge 6
2026-02-28T03:03:00Z,30.4,Charge 6
2026-02-28T03:04:00Z,30.4,Charge 6
2026-02-28T03:05:00Z,30.5,Charge 6
2026-02-28T03:06:00Z,30.5,Charge 6
2026-02-28T03:07:00Z,30.5,Charge 6
2026-02-28T03:08:00Z,30.5,Charge 6
2026-02-28T03:09:00Z,30.5,Charge 6
2026-02-28T03:10:00Z,30.6,Charge 6
2026-02-28T03:11:00Z,30.6,Charge 6
2026-02-28T03:12:00Z,30.6,Charge 6
2026-02-28T03:13:00Z,30.6,Charge 6
2026-02-28T03:14:00Z,30.6,Charge 6
2026-02-28T03:15:00Z,30.7,Charge 6
2026-02-28T03:16:00Z,30.7,Charge 6
2026-02-28T03:17:00Z,30.7,Charge 6
2026-02-28T03:18:00Z,30.7,Charge 6
2026-02-28T03:19:00Z,30.7,Charge 6
2026-02-28T03:20:00Z,30.7,Charge 6
2026-02-28T03:21:00Z,30.7,Charge 6
2026-02-28T03:22:00Z,30.7,Charge 6
2026-02-28T03:23:00Z,30.7,Charge 6
2026-02-28T03:24:00Z,30.7,Charge 6
2026-02-28T03:25:00Z,30.8,Charge 6
2026-02-28T03:26:00Z,30.7,Charge 6
2026-02-28T03:27:00Z,30.7,Charge 6
2026-02-28T03:28:00Z,30.8,Charge 6
2026-02-28T03:29:00Z,30.8,Charge 6
2026-02-28T03:30:00Z,30.8,Charge 6
2026-02-28T03:31:00Z,30.9,Charge 6
2026-02-28T03:32:00Z,30.9,Charge 6
2026-02-28T03:33:00Z,30.9,Charge 6
2026-02-28T03:34:00Z,30.9,Charge 6
2026-02-28T03:35:00Z,31.0,Charge 6
2026-02-28T03:36:00Z,31.0,Charge 6
2026-02-28T03:37:00Z,31.1,Charge 6
2026-02-28T03:38:00Z,31.2,Charge 6
2026-02-28T03:39:00Z,31.1,Charge 6
2026-02-28T03:40:00Z,31.0,Charge 6
2026-02-28T03:41:00Z,30.9,Charge 6
2026-02-28T03:42:00Z,30.8,Charge 6
2026-02-28T03:43:00Z,30.8,Charge 6
2026-02-28T03:44:00Z,30.8,Charge 6
2026-02-28T03:45:00Z,30.7,Charge 6
2026-02-28T03:46:00Z,30.8,Charge 6
2026-02-28T03:47:00Z,30.8,Charge 6
2026-02-28T03:48:00Z,30.9,Charge 6
2026-02-28T03:49:00Z,31.2,Charge 6
2026-02-28T03:50:00Z,31.3,Charge 6
2026-02-28T03:51:00Z,31.7,Charge 6
2026-02-28T03:52:00Z,31.8,Charge 6
2026-02-28T03:53:00Z,32.0,Charge 6
2026-02-28T03:54:00Z,32.2,Charge 6
2026-02-28T03:55:00Z,32.3,Charge 6
2026-02-28T03:56:00Z,32.4,Charge 6
2026-02-28T03:57:00Z,32.6,Charge 6
2026-02-28T03:58:00Z,32.4,Charge 6
2026-02-28T03:59:00Z,32.2,Charge 6
2026-02-28T04:00:00Z,32.0,Charge 6
2026-02-28T04:01:00Z,31.7,Charge 6
2026-02-28T04:02:00Z,31.6,Charge 6
2026-02-28T04:03:00Z,31.4,Charge 6
2026-02-28T04:04:00Z,31.3,Charge 6
2026-02-28T04:05:00Z,31.2,Charge 6
2026-02-28T04:06:00Z,31.1,Charge 6
2026-02-28T04:07:00Z,31.2,Charge 6
2026-02-28T04:08:00Z,31.3,Charge 6
2026-02-28T04:09:00Z,31.4,Charge 6
2026-02-28T04:10:00Z,31.5,Charge 6
2026-02-28T04:11:00Z,31.4,Charge 6
2026-02-28T04:12:00Z,31.4,Charge 6
2026-02-28T04:13:00Z,31.4,Charge 6
2026-02-28T04:14:00Z,31.5,Charge 6
2026-02-28T04:15:00Z,31.5,Charge 6
2026-02-28T04:16:00Z,31.5,Charge 6
2026-02-28T04:17:00Z,31.4,Charge 6
2026-02-28T04:18:00Z,31.2,Charge 6
2026-02-28T04:19:00Z,31.1,Charge 6
2026-02-28T04:20:00Z,31.0,Charge 6
