timestamp,floors,data source
2021-01-18T16:31:00Z,1,Fitbit App
2021-01-18T16:32:00Z,1,Fitbit App
2021-01-18T16:33:00Z,1,Fitbit App
2021-01-19T16:16:00Z,1,Fitbit App
2021-01-19T16:25:00Z,1,Fitbit App
2021-01-19T16:26:00Z,1,Fitbit App
2021-01-19T16:28:00Z,1,Fitbit App
2021-01-19T16:30:00Z,1,Fitbit App
2021-01-19T16:31:00Z,1,Fitbit App
2021-01-19T16:37:00Z,1,Fitbit App
2021-01-19T16:38:00Z,1,Fitbit App
2021-01-19T16:58:00Z,1,Fitbit App
2021-01-19T17:07:00Z,2,Fitbit App
2021-01-19T17:13:00Z,1,Fitbit App
2021-01-19T17:33:00Z,1,Fitbit App
2021-01-20T16:31:00Z,1,Fitbit App
2021-01-20T16:33:00Z,1,Fitbit App
2021-01-20T16:35:00Z,1,Fitbit App
2021-01-20T16:37:00Z,1,Fitbit App
2021-01-20T16:38:00Z,1,Fitbit App
2021-01-20T16:42:00Z,1,Fitbit App
2021-01-20T16:48:00Z,1,Fitbit App
2021-01-20T17:19:00Z,1,Fitbit App
2021-01-20T17:21:00Z,1,Fitbit App
2021-01-20T17:22:00Z,2,Fitbit App
2021-01-20T17:23:00Z,2,Fitbit App
2021-01-21T07:26:00Z,1,Fitbit App
2021-01-21T07:28:00Z,1,Fitbit App
2021-01-21T07:42:00Z,2,Fitbit App
2021-01-21T07:44:00Z,1,Fitbit App
2021-01-21T07:45:00Z,1,Fitbit App
2021-01-21T08:14:00Z,1,Fitbit App
2021-01-21T08:15:00Z,1,Fitbit App
2021-01-21T08:16:00Z,1,Fitbit App
2021-01-21T08:17:00Z,2,Fitbit App
2021-01-21T08:48:00Z,1,Fitbit App
2021-01-21T08:53:00Z,1,Fitbit App
2021-01-21T12:35:00Z,1,Fitbit App
2021-01-21T12:36:00Z,1,Fitbit App
2021-01-21T12:37:00Z,2,Fitbit App
2021-01-21T12:39:00Z,1,Fitbit App
2021-01-21T12:41:00Z,1,Fitbit App
2021-01-21T12:55:00Z,1,Fitbit App
2021-01-21T13:01:00Z,1,Fitbit App
2021-01-22T10:08:00Z,1,Fitbit App
2021-01-22T11:28:00Z,1,Fitbit App
2021-01-22T11:32:00Z,1,Fitbit App
2021-01-22T11:41:00Z,2,Fitbit App
2021-01-22T11:42:00Z,2,Fitbit App
2021-01-22T11:43:00Z,1,Fitbit App
2021-01-23T12:43:00Z,1,Fitbit App
2021-01-23T13:06:00Z,1,Fitbit App
2021-01-23T13:07:00Z,1,Fitbit App
2021-01-23T13:26:00Z,2,Fitbit App
2021-01-23T13:28:00Z,2,Fitbit App
2021-01-23T13:29:00Z,2,Fitbit App
2021-01-23T13:30:00Z,1,Fitbit App
2021-01-23T13:38:00Z,1,Fitbit App
2021-01-23T13:39:00Z,1,Fitbit App
2021-01-23T13:59:00Z,1,Fitbit App
2021-01-23T14:11:00Z,1,Fitbit App
2021-01-23T14:15:00Z,1,Fitbit App
2021-01-24T12:23:00Z,1,Fitbit App
2021-01-24T12:28:00Z,1,Fitbit App
2021-01-24T12:29:00Z,2,Fitbit App
2021-01-24T12:34:00Z,1,Fitbit App
2021-01-24T12:40:00Z,1,Fitbit App
2021-01-24T12:45:00Z,1,Fitbit App
2021-01-24T12:46:00Z,1,Fitbit App
2021-01-24T12:52:00Z,1,Fitbit App
2021-01-24T12:53:00Z,1,Fitbit App
2021-01-24T12:54:00Z,2,Fitbit App
2021-01-24T12:55:00Z,1,Fitbit App
2021-01-24T12:56:00Z,2,Fitbit App
2021-01-24T12:58:00Z,2,Fitbit App
2021-01-24T12:59:00Z,1,Fitbit App
2021-01-24T13:00:00Z,1,Fitbit App
2021-01-24T13:01:00Z,1,Fitbit App
2021-01-24T13:02:00Z,1,Fitbit App
2021-01-24T13:03:00Z,1,Fitbit App
2021-01-24T13:04:00Z,1,Fitbit App
2021-01-24T13:05:00Z,1,Fitbit App
2021-01-24T13:06:00Z,2,Fitbit App
2021-01-24T13:07:00Z,1,Fitbit App
2021-01-24T13:11:00Z,1,Fitbit App
2021-01-24T13:12:00Z,1,Fitbit App
2021-01-24T13:29:00Z,1,Fitbit App
2021-01-24T13:30:00Z,1,Fitbit App
2021-01-24T13:31:00Z,3,Fitbit App
2021-01-24T13:32:00Z,1,Fitbit App
2021-01-24T13:36:00Z,1,Fitbit App
2021-01-24T13:44:00Z,1,Fitbit App
2021-01-24T13:45:00Z,3,Fitbit App
2021-01-24T13:47:00Z,1,Fitbit App
2021-01-24T13:56:00Z,1,Fitbit App
2021-01-25T15:14:00Z,1,Fitbit App
2021-01-25T16:57:00Z,2,Fitbit App
2021-01-25T16:58:00Z,3,Fitbit App
2021-01-25T16:59:00Z,1,Fitbit App
2021-01-25T17:18:00Z,1,Fitbit App
2021-01-25T17:19:00Z,1,Fitbit App
2021-01-25T17:20:00Z,2,Fitbit App
2021-01-25T17:21:00Z,1,Fitbit App
2021-01-25T17:22:00Z,2,Fitbit App
2021-01-25T17:24:00Z,2,Fitbit App
2021-01-25T17:25:00Z,1,Fitbit App
2021-01-25T17:27:00Z,1,Fitbit App
2021-01-25T17:28:00Z,1,Fitbit App
2021-01-25T17:30:00Z,1,Fitbit App
2021-01-30T14:33:00Z,1,Fitbit App
2021-01-30T14:40:00Z,2,Fitbit App
2021-01-30T14:41:00Z,2,Fitbit App
2021-01-30T14:42:00Z,1,Fitbit App
2021-01-30T14:52:00Z,1,Fitbit App
2021-01-30T14:55:00Z,1,Fitbit App
2021-01-31T11:23:00Z,1,Fitbit App
2021-01-31T11:24:00Z,1,Fitbit App
2021-01-31T11:25:00Z,1,Fitbit App
2021-01-31T11:32:00Z,1,Fitbit App
2021-01-31T11:38:00Z,1,Fitbit App
2021-01-31T11:39:00Z,1,Fitbit App
2021-01-31T11:40:00Z,1,Fitbit App
2021-01-31T11:41:00Z,1,Fitbit App
2021-01-31T11:42:00Z,1,Fitbit App
2021-01-31T11:51:00Z,1,Fitbit App
2021-01-31T11:53:00Z,1,Fitbit App
2021-01-31T12:07:00Z,1,Fitbit App
2021-01-31T12:13:00Z,1,Fitbit App
2021-01-31T12:25:00Z,1,Fitbit App
2021-01-31T12:26:00Z,1,Fitbit App
2021-01-31T12:27:00Z,1,Fitbit App
2021-01-31T12:32:00Z,2,Fitbit App
2021-01-31T12:33:00Z,1,Fitbit App
2021-01-31T12:34:00Z,1,Fitbit App
2021-01-31T12:35:00Z,1,Fitbit App
2021-01-31T12:36:00Z,1,Fitbit App
2021-01-31T12:37:00Z,1,Fitbit App
2021-01-31T12:38:00Z,1,Fitbit App
2021-01-31T12:52:00Z,1,Fitbit App
2021-01-31T12:53:00Z,1,Fitbit App
